epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1458.16,1.33354,1.82441,1.42588,0.62317,0.7484,0.84212,0.56267,1.46938,1.77432,1.47025,0.000554412,0.000554412,0.000554412
2,3489.45,1.46363,1.4979,1.49441,0.64331,0.67439,0.64332,0.41579,1.4372,1.65929,1.41169,0.0010881,0.0010881,0.0010881
3,4835.61,1.47479,1.47586,1.47545,0.82195,0.67934,0.76378,0.47986,1.61079,1.52677,1.52714,0.00159978,0.00159978,0.00159978
4,5609.93,1.46044,1.37224,1.46394,0.67276,0.77646,0.74288,0.45156,1.58974,1.41274,1.46029,0.00156798,0.00156798,0.00156798
5,6088.55,1.38122,1.25276,1.3977,0.8478,0.79021,0.87223,0.60864,1.37789,1.09297,1.4181,0.00153497,0.00153497,0.00153497
6,7001.32,1.30666,1.13971,1.36222,0.88486,0.87254,0.88692,0.63115,1.25986,0.99951,1.30311,0.00150197,0.00150197,0.00150197
7,7377.34,1.25964,1.09441,1.31862,0.85944,0.84232,0.89532,0.64877,1.30066,0.95661,1.3135,0.00146896,0.00146896,0.00146896
8,7741.96,1.22448,1.03878,1.28921,0.90515,0.85374,0.91483,0.65951,1.23392,0.86163,1.27173,0.00143595,0.00143595,0.00143595
9,8103.6,1.17421,0.97985,1.25674,0.88906,0.80813,0.88315,0.64838,1.16458,0.96304,1.21306,0.00140295,0.00140295,0.00140295
10,8757.47,1.13153,0.9404,1.22735,0.87606,0.85772,0.92153,0.68334,1.23344,0.832,1.24821,0.00136994,0.00136994,0.00136994
11,9130.59,1.1081,0.88285,1.21724,0.95257,0.84232,0.91521,0.68688,1.19676,0.80227,1.20774,0.00133693,0.00133693,0.00133693
12,12590.7,1.11011,0.88303,1.20816,0.95565,0.84643,0.93195,0.70628,1.14481,0.78749,1.1665,0.00130393,0.00130393,0.00130393
13,13766.9,1.0943,0.85638,1.19849,0.92825,0.87475,0.94424,0.70861,1.15908,0.7543,1.18712,0.00127092,0.00127092,0.00127092
14,14474.8,1.07701,0.82279,1.17902,0.91091,0.90551,0.93865,0.6811,1.20474,0.74629,1.1999,0.00123791,0.00123791,0.00123791
15,14943.2,1.04785,0.78264,1.16771,0.94953,0.8635,0.93219,0.71509,1.11219,0.74507,1.16703,0.00120491,0.00120491,0.00120491
16,15420.9,1.0191,0.76771,1.15027,0.93518,0.90786,0.94955,0.72799,1.05602,0.69445,1.1107,0.0011719,0.0011719,0.0011719
17,15822.5,1.01326,0.74454,1.1542,0.91649,0.85935,0.93906,0.7467,1.02555,0.70603,1.11057,0.00113889,0.00113889,0.00113889
18,16186.9,1.00511,0.74273,1.14783,0.92515,0.90001,0.94642,0.74153,1.07294,0.70572,1.12595,0.00110589,0.00110589,0.00110589
19,16552.4,0.97608,0.7058,1.1447,0.97557,0.91326,0.9502,0.74709,1.05807,0.64314,1.10995,0.00107288,0.00107288,0.00107288
20,16930.1,0.95884,0.69065,1.11749,0.93725,0.91925,0.95395,0.75494,1.07198,0.64716,1.13795,0.00103987,0.00103987,0.00103987
21,17300.2,0.96428,0.66984,1.11081,0.95157,0.92446,0.95508,0.75929,1.041,0.58896,1.10566,0.00100687,0.00100687,0.00100687
22,17662.1,0.93052,0.65049,1.09462,0.94522,0.91925,0.95767,0.7304,1.05405,0.61748,1.1134,0.000973861,0.000973861,0.000973861
23,18030.1,0.95037,0.67128,1.10039,0.91835,0.92474,0.94688,0.75797,0.99706,0.63472,1.09263,0.000940855,0.000940855,0.000940855
24,18399.8,0.92746,0.66163,1.09317,0.95071,0.90626,0.95306,0.7699,0.97938,0.58964,1.061,0.000907848,0.000907848,0.000907848
25,18773.9,0.93082,0.63666,1.0959,0.92859,0.92992,0.95947,0.75745,1.03148,0.60364,1.10873,0.000874842,0.000874842,0.000874842
26,19139.8,0.90934,0.62586,1.08173,0.92473,0.92474,0.93733,0.74428,1.00914,0.66029,1.09126,0.000841835,0.000841835,0.000841835
27,19505,0.89298,0.60908,1.08688,0.93985,0.91925,0.95214,0.77598,0.98244,0.57664,1.06351,0.000808828,0.000808828,0.000808828
28,19869.5,0.8862,0.60712,1.07449,0.9653,0.9165,0.95668,0.76909,1.00427,0.55874,1.07415,0.000775822,0.000775822,0.000775822
29,20271.4,0.89086,0.5907,1.07754,0.93072,0.9165,0.94506,0.77138,0.98356,0.56326,1.05274,0.000742815,0.000742815,0.000742815
30,20735.2,0.85117,0.55474,1.05253,0.95367,0.93459,0.95698,0.77545,0.96897,0.55947,1.05772,0.000709809,0.000709809,0.000709809
31,21200.7,0.85086,0.55568,1.05599,0.93533,0.94077,0.95898,0.77603,0.98196,0.56516,1.06553,0.000676802,0.000676802,0.000676802
32,21662.9,0.84061,0.54681,1.05148,0.94902,0.93664,0.96979,0.78315,0.95929,0.53852,1.03423,0.000643795,0.000643795,0.000643795
33,36956.1,0.82893,0.53616,1.04675,0.93962,0.93023,0.96341,0.79226,0.95412,0.52793,1.05069,0.000610789,0.000610789,0.000610789
34,39523,0.81921,0.53355,1.03595,0.94818,0.92749,0.96072,0.78814,0.92959,0.51566,1.03599,0.000577782,0.000577782,0.000577782
35,40170.1,0.84306,0.54201,1.05388,0.94574,0.93298,0.95761,0.776,0.95286,0.54008,1.05122,0.000544776,0.000544776,0.000544776
36,40816,0.80825,0.51871,1.02993,0.93875,0.94803,0.96152,0.78592,0.94537,0.53654,1.02401,0.000511769,0.000511769,0.000511769
37,42096.4,0.80374,0.50544,1.03283,0.95306,0.93848,0.96028,0.79035,0.93652,0.52959,1.03675,0.000478762,0.000478762,0.000478762
38,42484,0.80308,0.51476,1.03131,0.9438,0.93265,0.95671,0.78692,0.93964,0.52134,1.03035,0.000445756,0.000445756,0.000445756
39,42875.8,0.8054,0.50487,1.0354,0.95601,0.92479,0.95967,0.77724,0.95635,0.5064,1.04165,0.000412749,0.000412749,0.000412749
40,43300.8,0.77243,0.4917,1.01525,0.95421,0.93752,0.96108,0.79363,0.95215,0.49159,1.05382,0.000379743,0.000379743,0.000379743
41,43850.5,0.70726,0.37442,0.95748,0.93346,0.94397,0.9612,0.78193,0.94958,0.51852,1.03402,0.000346736,0.000346736,0.000346736
42,44466.5,0.7052,0.37287,0.96235,0.93285,0.93878,0.95854,0.79204,0.94766,0.49901,1.03665,0.000313729,0.000313729,0.000313729
43,45087.8,0.70179,0.36599,0.96315,0.95697,0.93571,0.96458,0.79812,0.93146,0.49353,1.0197,0.000280723,0.000280723,0.000280723
44,45567.5,0.68213,0.35798,0.94064,0.96288,0.95215,0.97193,0.80463,0.89475,0.47004,1.01474,0.000247716,0.000247716,0.000247716
45,45942.2,0.67354,0.35195,0.94235,0.96212,0.94581,0.96308,0.80445,0.89885,0.4817,1.009,0.00021471,0.00021471,0.00021471
46,46319.8,0.66182,0.34613,0.93972,0.9686,0.95062,0.96948,0.80477,0.90789,0.46515,1.02058,0.000181703,0.000181703,0.000181703
47,46700.2,0.65037,0.3324,0.93362,0.97369,0.93987,0.96701,0.80449,0.90946,0.47586,1.02674,0.000148696,0.000148696,0.000148696
48,47079.3,0.63321,0.33515,0.93481,0.96285,0.95192,0.96828,0.80237,0.9178,0.4573,1.03383,0.00011569,0.00011569,0.00011569
49,47463.4,0.62874,0.32595,0.92875,0.95031,0.94319,0.95746,0.8007,0.90566,0.45967,1.0293,8.26832e-05,8.26832e-05,8.26832e-05
50,47825.6,0.63036,0.32514,0.92628,0.96412,0.94902,0.96385,0.80026,0.90512,0.45915,1.03008,4.96766e-05,4.96766e-05,4.96766e-05
